V P
100.0 16.13842254
102.00999999999999 15.37266581
104.03999999999999 13.782711120000002
106.09000000000002 10.89409267
108.16000000000001 10.180508360000003
110.25 8.179177619999999
112.36 6.55639943
114.48999999999998 6.164172150000001
116.64000000000001 5.63024864
118.81 5.23258183
121.0 4.55172836
123.21 3.82825938
125.43999999999998 3.1157737
127.69000000000001 3.22993965
129.96 3.0278333199999996
132.25 2.7264413799999994
134.56 2.27319187
136.89 2.00659277
139.24 1.82949742
141.61 1.7659845
144.0 1.72046177
146.41 1.34758868
148.83999999999997 1.4175970999999998
151.29000000000002 1.26997407
153.76000000000002 1.2848906199999999
156.25 1.25789003
158.76 1.08132053
161.29 0.8472652500000001
163.84000000000003 1.14340257
166.41 0.7596777400000001
169.0 0.8841999000000001
171.60999999999999 0.8281791299999999
174.23999999999998 0.84262586
176.89000000000001 0.7188751699999999
179.56 0.7442080799999999
182.25 0.6663653900000002
184.95999999999998 0.7908831500000001
187.68999999999997 0.69151116
190.44000000000003 0.68385888
193.21 0.52003066
196.0 0.5545313599999999
198.81000000000003 0.6165638999999999
201.64 0.5578236599999999
204.49 0.49879088000000005
207.36 0.4782295299999999
210.25 0.44200844999999994
213.16000000000005 0.5662549200000001
216.08999999999997 0.4566449799999999
219.04000000000002 0.47916809
222.01000000000002 0.42253636000000006
225.0 0.51013276
228.01000000000005 0.41879969999999994
231.04 0.40500847000000006
234.09000000000003 0.4449386100000001
237.16000000000003 0.3711931499999999
240.25 0.41500156
243.36000000000004 0.4109396900000001
246.48999999999998 0.39927766
249.64000000000001 0.32611081
252.81 0.43248681
256.0 0.28001926
259.21000000000004 0.3765737500000001
262.44 0.39379067999999995
265.69 0.37259736000000004
268.96 0.32069580000000003
272.25 0.27983772
275.56000000000006 0.34311502999999993
278.89 0.3428021700000001
282.24 0.2852105
285.60999999999996 0.33496243
289.0 0.31984091000000003
292.41 0.37649161999999997
295.84 0.33978244999999996
299.29 0.27024096999999997
302.75999999999993 0.33796759000000004
306.25 0.27954939
309.76000000000005 0.27003409000000006
313.28999999999996 0.27172733000000004
316.84000000000003 0.29771274999999997
320.40999999999997 0.25278741
324.0 0.27213124000000005
327.61000000000007 0.27620539
331.2400000000001 0.30466403999999997
334.89000000000004 0.23120957
338.55999999999995 0.22634061
342.25 0.27313717
345.96000000000004 0.27857915
349.6900000000001 0.23974975999999998
353.44000000000005 0.25889902000000004
357.2099999999999 0.24687031
361.0 0.21761356999999998
364.81000000000006 0.22722170000000003
368.6400000000001 0.20702323
372.49 0.29172064999999997
376.35999999999996 0.19889055999999997
380.25 0.21190057000000004
384.1600000000001 0.21975300999999997
388.0900000000001 0.24630312
392.04 0.21477221
396.00999999999993 0.20661113
400.0 0.19466512000000002
