N = 100, T = 0.010000/kb, dim = 2, max displacement = 0.020000, seed = 22, box = 10.000000x10.000000x10.000000
cycle T E
0 0.010000 -102.630568
1 0.010000 -102.615326
2 0.010000 -102.574981
3 0.010000 -102.567081
4 0.010000 -102.535347
5 0.010000 -102.445993
6 0.010000 -102.385468
7 0.010000 -102.398991
8 0.010000 -102.350637
9 0.010000 -102.336806
10 0.010000 -102.312516
11 0.010000 -102.281867
12 0.010000 -102.275299
13 0.010000 -102.302020
14 0.010000 -102.285818
15 0.010000 -102.192889
16 0.010000 -102.178438
17 0.010000 -102.152715
18 0.010000 -102.155437
19 0.010000 -102.172192
20 0.010000 -102.106633
21 0.010000 -102.047674
22 0.010000 -102.063488
23 0.010000 -102.049685
24 0.010000 -102.017117
25 0.010000 -102.045092
26 0.010000 -101.992342
27 0.010000 -101.983201
28 0.010000 -102.053126
29 0.010000 -102.015195
30 0.010000 -101.969023
31 0.010000 -101.909143
32 0.010000 -101.923646
33 0.010000 -101.927066
34 0.010000 -101.915009
35 0.010000 -101.923116
36 0.010000 -101.924015
37 0.010000 -102.011780
38 0.010000 -101.990302
39 0.010000 -102.006773
40 0.010000 -101.979430
41 0.010000 -101.985474
42 0.010000 -102.003354
43 0.010000 -102.017787
44 0.010000 -102.000742
45 0.010000 -102.009253
46 0.010000 -102.025475
47 0.010000 -102.030348
48 0.010000 -101.983399
49 0.010000 -101.960801
50 0.010000 -101.963913
51 0.010000 -101.915167
52 0.010000 -101.927578
53 0.010000 -101.952933
54 0.010000 -101.862692
55 0.010000 -101.911324
56 0.010000 -101.877801
57 0.010000 -101.795111
58 0.010000 -101.777629
59 0.010000 -101.840511
60 0.010000 -101.794040
61 0.010000 -101.843621
62 0.010000 -101.867401
63 0.010000 -101.873979
64 0.010000 -101.927085
65 0.010000 -101.921486
66 0.010000 -101.907312
67 0.010000 -101.966999
68 0.010000 -102.004776
69 0.010000 -101.961414
70 0.010000 -101.982663
71 0.010000 -101.989088
72 0.010000 -101.990055
73 0.010000 -102.008288
74 0.010000 -101.973540
75 0.010000 -101.951987
76 0.010000 -101.926257
77 0.010000 -101.934970
78 0.010000 -101.965413
79 0.010000 -101.997077
80 0.010000 -101.984607
81 0.010000 -102.061834
82 0.010000 -102.070639
83 0.010000 -102.077836
84 0.010000 -102.030345
85 0.010000 -102.021833
86 0.010000 -102.032555
87 0.010000 -102.091217
88 0.010000 -102.113339
89 0.010000 -102.100063
90 0.010000 -102.024477
91 0.010000 -102.050404
92 0.010000 -102.169021
93 0.010000 -102.171766
94 0.010000 -102.156265
95 0.010000 -102.090590
96 0.010000 -102.045687
97 0.010000 -102.140603
98 0.010000 -102.112673
99 0.010000 -102.143986
100 0.010000 -102.168986
101 0.010000 -102.179921
102 0.010000 -102.192598
103 0.010000 -102.204041
104 0.010000 -102.224291
105 0.010000 -102.248274
106 0.010000 -102.279675
107 0.010000 -102.383307
108 0.010000 -102.328740
109 0.010000 -102.339408
110 0.010000 -102.314936
111 0.010000 -102.353139
112 0.010000 -102.330214
113 0.010000 -102.306449
114 0.010000 -102.328560
115 0.010000 -102.328940
116 0.010000 -102.368507
117 0.010000 -102.406922
118 0.010000 -102.411455
119 0.010000 -102.419236
120 0.010000 -102.411668
121 0.010000 -102.425232
122 0.010000 -102.502141
123 0.010000 -102.523906
124 0.010000 -102.594554
125 0.010000 -102.742336
126 0.010000 -102.764233
127 0.010000 -102.790091
128 0.010000 -102.833946
129 0.010000 -102.855386
130 0.010000 -102.971862
131 0.010000 -102.910257
132 0.010000 -103.018267
133 0.010000 -103.089817
134 0.010000 -103.250260
135 0.010000 -103.224791
136 0.010000 -103.323898
137 0.010000 -103.427769
138 0.010000 -103.422823
139 0.010000 -103.484585
140 0.010000 -103.590699
141 0.010000 -103.692820
142 0.010000 -103.780510
143 0.010000 -103.779629
144 0.010000 -103.809040
145 0.010000 -104.001793
146 0.010000 -104.110413
147 0.010000 -104.228611
148 0.010000 -104.345151
149 0.010000 -104.397496
150 0.010000 -104.543571
151 0.010000 -104.637032
152 0.010000 -104.751170
153 0.010000 -104.793799
154 0.010000 -104.902947
155 0.010000 -105.384768
156 0.010000 -105.714732
157 0.010000 -105.908852
158 0.010000 -105.996042
159 0.010000 -106.260510
160 0.010000 -106.353320
161 0.010000 -106.420462
162 0.010000 -106.521883
163 0.010000 -106.788917
164 0.010000 -106.888060
165 0.010000 -106.998153
166 0.010000 -107.400619
167 0.010000 -107.546454
168 0.010000 -107.791439
169 0.010000 -108.016741
170 0.010000 -108.227647
171 0.010000 -108.604281
172 0.010000 -108.973493
173 0.010000 -108.998764
174 0.010000 -109.411630
175 0.010000 -109.761357
176 0.010000 -110.099566
177 0.010000 -110.600549
178 0.010000 -111.062679
179 0.010000 -111.669979
180 0.010000 -112.046615
181 0.010000 -112.815684
182 0.010000 -113.128039
183 0.010000 -113.928243
184 0.010000 -114.739020
185 0.010000 -115.233647
186 0.010000 -116.588819
187 0.010000 -117.019152
188 0.010000 -117.470378
189 0.010000 -118.227186
190 0.010000 -119.240315
191 0.010000 -120.248240
192 0.010000 -121.428334
193 0.010000 -122.600495
194 0.010000 -123.776598
195 0.010000 -125.119205
196 0.010000 -125.979842
197 0.010000 -126.606031
198 0.010000 -128.122028
199 0.010000 -129.222733
200 0.010000 -130.258422
201 0.010000 -131.199117
202 0.010000 -132.902391
203 0.010000 -133.960979
204 0.010000 -135.254192
205 0.010000 -136.220683
206 0.010000 -137.783294
207 0.010000 -138.343531
208 0.010000 -139.449484
209 0.010000 -141.105230
210 0.010000 -142.345231
211 0.010000 -143.946011
212 0.010000 -145.366646
213 0.010000 -147.162061
214 0.010000 -149.226195
215 0.010000 -151.203638
216 0.010000 -153.115540
217 0.010000 -154.859596
218 0.010000 -155.869695
219 0.010000 -157.253266
220 0.010000 -158.980266
221 0.010000 -159.963789
222 0.010000 -161.417128
223 0.010000 -163.075341
224 0.010000 -165.500734
225 0.010000 -166.523989
226 0.010000 -168.256570
227 0.010000 -169.874846
228 0.010000 -171.539741
229 0.010000 -173.193263
230 0.010000 -174.251794
231 0.010000 -175.064447
232 0.010000 -176.253474
233 0.010000 -177.693594
234 0.010000 -178.926449
235 0.010000 -179.844701
236 0.010000 -181.496272
237 0.010000 -182.023386
238 0.010000 -183.245190
239 0.010000 -184.439960
240 0.010000 -185.245409
241 0.010000 -186.769620
242 0.010000 -187.668707
243 0.010000 -188.616736
244 0.010000 -189.098488
245 0.010000 -189.683389
246 0.010000 -190.047084
247 0.010000 -190.628522
248 0.010000 -191.253425
249 0.010000 -191.627268
250 0.010000 -192.359007
251 0.010000 -193.041951
252 0.010000 -193.413598
253 0.010000 -193.534137
254 0.010000 -194.056852
255 0.010000 -194.294672
256 0.010000 -194.588435
257 0.010000 -195.167503
258 0.010000 -195.715277
259 0.010000 -195.875818
260 0.010000 -196.098115
261 0.010000 -196.409198
262 0.010000 -196.623922
263 0.010000 -196.919877
264 0.010000 -197.049597
265 0.010000 -197.517557
266 0.010000 -197.899967
267 0.010000 -198.066336
268 0.010000 -198.201503
269 0.010000 -198.399577
270 0.010000 -198.405483
271 0.010000 -198.703112
272 0.010000 -198.781860
273 0.010000 -198.824902
274 0.010000 -198.980962
275 0.010000 -199.184121
276 0.010000 -199.346319
277 0.010000 -199.748889
278 0.010000 -199.993466
279 0.010000 -200.230655
280 0.010000 -200.470342
281 0.010000 -200.618346
282 0.010000 -200.728983
283 0.010000 -200.783142
284 0.010000 -200.976281
285 0.010000 -201.036636
286 0.010000 -201.125316
287 0.010000 -201.429160
288 0.010000 -201.663801
289 0.010000 -201.927167
290 0.010000 -202.031631
291 0.010000 -202.206979
292 0.010000 -202.330615
293 0.010000 -202.401036
294 0.010000 -202.491532
295 0.010000 -202.618227
296 0.010000 -202.697771
297 0.010000 -202.882023
298 0.010000 -202.984812
299 0.010000 -203.380242
300 0.010000 -203.494790
301 0.010000 -203.606692
302 0.010000 -203.677458
303 0.010000 -203.752948
304 0.010000 -204.074387
305 0.010000 -204.082398
306 0.010000 -204.309678
307 0.010000 -204.421752
308 0.010000 -204.468041
309 0.010000 -204.727828
310 0.010000 -204.728532
311 0.010000 -205.028357
312 0.010000 -205.042317
313 0.010000 -205.021267
314 0.010000 -205.051128
315 0.010000 -205.209824
316 0.010000 -205.363319
317 0.010000 -205.472547
318 0.010000 -205.584366
319 0.010000 -205.606011
320 0.010000 -205.615205
321 0.010000 -205.719558
322 0.010000 -205.897493
323 0.010000 -205.945516
324 0.010000 -206.018474
325 0.010000 -206.182337
326 0.010000 -206.294132
327 0.010000 -206.374505
328 0.010000 -206.521666
329 0.010000 -206.614976
330 0.010000 -206.688520
331 0.010000 -206.779834
332 0.010000 -206.912786
333 0.010000 -207.093192
334 0.010000 -207.263657
335 0.010000 -207.253109
336 0.010000 -207.233537
337 0.010000 -207.329238
338 0.010000 -207.472050
339 0.010000 -207.543896
340 0.010000 -207.596063
341 0.010000 -207.718897
342 0.010000 -207.848503
343 0.010000 -207.897820
344 0.010000 -207.997210
345 0.010000 -208.008240
346 0.010000 -208.133322
347 0.010000 -208.205358
348 0.010000 -208.236495
349 0.010000 -208.345708
350 0.010000 -208.465275
351 0.010000 -208.635602
352 0.010000 -208.730290
353 0.010000 -208.792727
354 0.010000 -208.769888
355 0.010000 -208.876918
356 0.010000 -209.009428
357 0.010000 -209.351724
358 0.010000 -209.411579
359 0.010000 -209.470185
360 0.010000 -209.571098
361 0.010000 -209.758275
362 0.010000 -209.770133
363 0.010000 -209.827094
364 0.010000 -209.949112
365 0.010000 -209.885764
366 0.010000 -209.992249
367 0.010000 -209.913092
368 0.010000 -209.956879
369 0.010000 -210.028651
370 0.010000 -210.269480
371 0.010000 -210.318592
372 0.010000 -210.384706
373 0.010000 -210.373373
374 0.010000 -210.517139
375 0.010000 -210.482431
376 0.010000 -210.664267
377 0.010000 -210.781066
378 0.010000 -210.782830
379 0.010000 -210.792054
380 0.010000 -210.892142
381 0.010000 -210.836633
382 0.010000 -210.880653
383 0.010000 -210.875543
384 0.010000 -211.001699
385 0.010000 -211.080183
386 0.010000 -211.176801
387 0.010000 -211.326976
388 0.010000 -211.438001
389 0.010000 -211.591446
390 0.010000 -211.736205
391 0.010000 -211.950367
392 0.010000 -211.799830
393 0.010000 -211.845617
394 0.010000 -211.934625
395 0.010000 -211.889632
396 0.010000 -211.971953
397 0.010000 -211.933672
398 0.010000 -212.030173
399 0.010000 -212.112111
400 0.010000 -212.057429
401 0.010000 -212.179737
402 0.010000 -212.239411
403 0.010000 -212.250954
404 0.010000 -212.310857
405 0.010000 -212.465559
406 0.010000 -212.438070
407 0.010000 -212.467477
408 0.010000 -212.513029
409 0.010000 -212.552491
410 0.010000 -212.650908
411 0.010000 -212.627667
412 0.010000 -212.768464
413 0.010000 -212.863712
414 0.010000 -212.854183
415 0.010000 -212.886777
416 0.010000 -212.870924
417 0.010000 -213.054214
418 0.010000 -212.993900
419 0.010000 -212.986135
420 0.010000 -213.058249
421 0.010000 -213.060933
422 0.010000 -213.147328
423 0.010000 -213.194921
424 0.010000 -213.223267
425 0.010000 -213.257113
426 0.010000 -213.212684
