N = 100, T = 0.010000/kb, dim = 2, max displacement = 0.200000, seed = 22, box = 40.000000x40.000000x40.000000
cycle T E
242 0.010000 -56.492938
243 0.010000 -56.540403
244 0.010000 -56.588276
245 0.010000 -56.688323
246 0.010000 -56.695695
247 0.010000 -56.673818
248 0.010000 -56.830308
249 0.010000 -56.875405
250 0.010000 -57.070433
251 0.010000 -57.114823
252 0.010000 -57.288634
253 0.010000 -57.754568
254 0.010000 -57.821815
255 0.010000 -57.955005
256 0.010000 -58.037740
257 0.010000 -58.249657
258 0.010000 -58.280798
259 0.010000 -58.373074
260 0.010000 -58.538894
261 0.010000 -58.559149
262 0.010000 -58.714639
263 0.010000 -58.722289
264 0.010000 -59.000962
265 0.010000 -59.132367
266 0.010000 -59.187134
267 0.010000 -59.493396
268 0.010000 -59.512425
269 0.010000 -59.705680
270 0.010000 -59.958771
271 0.010000 -60.010275
272 0.010000 -60.532023
273 0.010000 -60.546601
274 0.010000 -61.212273
275 0.010000 -61.836930
276 0.010000 -61.833224
277 0.010000 -61.930181
278 0.010000 -61.987247
279 0.010000 -62.039615
280 0.010000 -62.173098
281 0.010000 -62.317884
282 0.010000 -62.554515
283 0.010000 -62.585707
284 0.010000 -63.387191
285 0.010000 -63.485079
286 0.010000 -63.605138
287 0.010000 -64.006882
288 0.010000 -64.380687
289 0.010000 -64.753257
290 0.010000 -64.748796
291 0.010000 -65.152118
292 0.010000 -65.194678
293 0.010000 -65.248973
294 0.010000 -65.248406
295 0.010000 -65.537511
296 0.010000 -65.878484
297 0.010000 -65.992661
298 0.010000 -66.274842
299 0.010000 -66.665984
300 0.010000 -66.709077
301 0.010000 -66.722068
302 0.010000 -66.734426
303 0.010000 -66.910138
304 0.010000 -67.029459
305 0.010000 -67.126739
306 0.010000 -67.174740
307 0.010000 -67.374411
308 0.010000 -67.377902
309 0.010000 -67.777179
310 0.010000 -68.423973
311 0.010000 -69.315248
312 0.010000 -69.339269
313 0.010000 -69.451333
314 0.010000 -69.452042
315 0.010000 -69.550967
316 0.010000 -69.563351
317 0.010000 -69.737647
318 0.010000 -69.916886
319 0.010000 -70.093668
320 0.010000 -70.269432
321 0.010000 -70.472314
322 0.010000 -70.574992
323 0.010000 -70.767476
324 0.010000 -70.837848
325 0.010000 -70.999941
326 0.010000 -71.091895
327 0.010000 -71.103314
328 0.010000 -71.149184
329 0.010000 -71.126133
330 0.010000 -71.110984
331 0.010000 -71.344792
332 0.010000 -71.450015
333 0.010000 -71.444549
334 0.010000 -71.478228
335 0.010000 -71.497762
336 0.010000 -71.470843
337 0.010000 -71.471541
338 0.010000 -71.509707
339 0.010000 -71.492527
340 0.010000 -71.505231
341 0.010000 -71.508279
342 0.010000 -71.524755
343 0.010000 -71.568777
344 0.010000 -71.537216
345 0.010000 -71.572860
346 0.010000 -71.597932
347 0.010000 -71.594614
348 0.010000 -71.625987
349 0.010000 -71.627580
350 0.010000 -71.631820
351 0.010000 -71.750545
352 0.010000 -72.052436
353 0.010000 -72.341514
354 0.010000 -72.529502
355 0.010000 -72.528707
356 0.010000 -72.534446
357 0.010000 -72.638930
358 0.010000 -72.727145
359 0.010000 -72.716848
360 0.010000 -72.770596
361 0.010000 -72.810633
362 0.010000 -72.790586
363 0.010000 -72.856525
364 0.010000 -72.862009
365 0.010000 -72.972729
366 0.010000 -72.993181
367 0.010000 -73.194696
368 0.010000 -73.239816
369 0.010000 -73.230571
370 0.010000 -73.238187
371 0.010000 -73.419912
372 0.010000 -73.530822
373 0.010000 -73.611482
374 0.010000 -73.750976
375 0.010000 -73.805739
376 0.010000 -73.804003
377 0.010000 -73.802914
378 0.010000 -73.858405
379 0.010000 -74.222916
380 0.010000 -74.274918
381 0.010000 -74.316246
382 0.010000 -74.309322
383 0.010000 -74.344115
384 0.010000 -74.338010
385 0.010000 -74.417500
386 0.010000 -74.418220
387 0.010000 -74.348274
388 0.010000 -74.364174
389 0.010000 -74.416616
390 0.010000 -74.473255
391 0.010000 -74.465022
392 0.010000 -74.515845
393 0.010000 -74.534609
394 0.010000 -74.539427
395 0.010000 -74.538319
396 0.010000 -74.657051
397 0.010000 -74.665311
398 0.010000 -74.694446
