N = 100, T = 10.000000/kb, dim = 2, max displacement = 2.000000, seed = 22, box = 40.000000x40.000000x40.000000
cycle T E
247 10.000000 -5.431633
248 10.000000 -4.778845
249 10.000000 0.145169
250 10.000000 -9.444753
251 10.000000 -9.969351
252 10.000000 -5.766991
253 10.000000 -7.713337
254 10.000000 -13.883422
255 10.000000 -0.258728
256 10.000000 -3.953708
257 10.000000 -9.219793
258 10.000000 -8.623836
259 10.000000 -11.353792
260 10.000000 -9.403653
261 10.000000 -8.974462
262 10.000000 -5.019887
263 10.000000 3.445689
264 10.000000 26.542263
265 10.000000 17.892160
266 10.000000 19.345988
267 10.000000 -0.552952
268 10.000000 -6.499664
269 10.000000 6.616107
270 10.000000 -0.759624
271 10.000000 9.455916
272 10.000000 -11.403251
273 10.000000 14.554402
274 10.000000 7.795247
275 10.000000 7.078215
276 10.000000 47.200987
277 10.000000 -3.821934
278 10.000000 -9.604582
279 10.000000 16.015080
280 10.000000 10.502667
281 10.000000 22.088611
282 10.000000 -3.385136
283 10.000000 -1.794154
284 10.000000 -10.062920
285 10.000000 12.175798
286 10.000000 7.813558
287 10.000000 -5.838619
288 10.000000 -1.755963
289 10.000000 11.604131
290 10.000000 -13.886186
291 10.000000 -12.396372
292 10.000000 -4.981730
293 10.000000 -3.198005
294 10.000000 -4.141358
295 10.000000 -2.367513
296 10.000000 -13.484036
297 10.000000 10.865273
298 10.000000 8.087575
299 10.000000 -10.919934
300 10.000000 -12.241951
301 10.000000 -12.002990
302 10.000000 -6.621800
303 10.000000 -9.675047
304 10.000000 6.871767
305 10.000000 -5.415455
306 10.000000 -3.253447
307 10.000000 3.452910
308 10.000000 7.505492
309 10.000000 -8.247796
310 10.000000 -9.275276
311 10.000000 -8.013534
312 10.000000 -10.314902
313 10.000000 -12.548739
314 10.000000 -6.012989
315 10.000000 -11.985516
316 10.000000 -8.430827
317 10.000000 3.929928
318 10.000000 -12.514767
319 10.000000 -8.922210
320 10.000000 -8.923609
321 10.000000 6.515638
322 10.000000 -6.840158
323 10.000000 -6.504238
324 10.000000 -1.485332
325 10.000000 -11.313768
326 10.000000 9.412016
327 10.000000 -1.410193
328 10.000000 -10.768410
329 10.000000 -14.635356
330 10.000000 -9.847076
331 10.000000 -12.718976
332 10.000000 -7.973714
333 10.000000 -4.130619
334 10.000000 -5.725308
335 10.000000 -2.186395
336 10.000000 -0.122806
337 10.000000 -3.301931
338 10.000000 -9.026297
339 10.000000 -3.879631
340 10.000000 -1.669014
341 10.000000 -6.773154
342 10.000000 -8.612779
343 10.000000 -4.842220
344 10.000000 -13.935469
345 10.000000 -3.624058
346 10.000000 3.216299
347 10.000000 -7.736752
348 10.000000 -5.854060
349 10.000000 -13.915551
350 10.000000 -6.499791
351 10.000000 -6.843163
352 10.000000 -2.483720
353 10.000000 -4.159036
354 10.000000 -2.227230
355 10.000000 -12.393430
356 10.000000 -13.039947
357 10.000000 -2.228636
358 10.000000 -3.295718
359 10.000000 -7.248414
360 10.000000 -4.742057
361 10.000000 -6.084611
362 10.000000 -10.939756
363 10.000000 -9.762572
364 10.000000 -6.377286
365 10.000000 -6.573526
366 10.000000 -1.567086
367 10.000000 1.244379
368 10.000000 -3.080499
369 10.000000 -3.927536
370 10.000000 10.289634
371 10.000000 4.926347
372 10.000000 23.962708
373 10.000000 -4.814698
374 10.000000 -9.978668
375 10.000000 -9.257742
376 10.000000 -12.982704
377 10.000000 -15.429625
378 10.000000 -11.913177
379 10.000000 -9.836153
380 10.000000 -8.960392
381 10.000000 -2.630159
382 10.000000 -4.693850
383 10.000000 13.184768
384 10.000000 23.161145
385 10.000000 -6.972093
386 10.000000 -10.344101
387 10.000000 -5.968505
388 10.000000 -10.563535
389 10.000000 -9.588225
390 10.000000 -9.078394
391 10.000000 -6.831164
392 10.000000 -2.469365
393 10.000000 -12.632257
394 10.000000 -13.953562
395 10.000000 -13.893372
396 10.000000 -15.328335
397 10.000000 -10.325907
398 10.000000 -6.230409
399 10.000000 -10.947688
400 10.000000 -10.711597
401 10.000000 4.300566
402 10.000000 -2.663595
403 10.000000 5.157265
404 10.000000 7.287507
405 10.000000 7.494044
406 10.000000 -12.614748
407 10.000000 -13.673917
408 10.000000 -15.436610
409 10.000000 -19.611528
410 10.000000 -2.886830
411 10.000000 -4.131991
412 10.000000 1.910270
413 10.000000 -3.699138
414 10.000000 -11.498255
415 10.000000 -1.427930
416 10.000000 3.593278
417 10.000000 1.010397
418 10.000000 -7.624033
419 10.000000 15.948801
420 10.000000 -11.035859
421 10.000000 -7.800380
422 10.000000 -6.405579
423 10.000000 3.177838
424 10.000000 -9.842444
425 10.000000 -15.540109
426 10.000000 -0.250583
427 10.000000 -5.504327
428 10.000000 -3.377429
429 10.000000 -2.905255
430 10.000000 -11.029321
431 10.000000 -12.984516
432 10.000000 -4.271534
433 10.000000 11.893545
434 10.000000 11.904689
435 10.000000 -5.041180
436 10.000000 -9.456750
437 10.000000 -9.095017
438 10.000000 8.863706
439 10.000000 -5.708552
440 10.000000 -10.387040
441 10.000000 -6.701417
442 10.000000 -12.062619
443 10.000000 -2.755226
444 10.000000 -3.503452
445 10.000000 7.042823
446 10.000000 -3.781664
447 10.000000 4.879314
448 10.000000 6.284015
449 10.000000 5.952432
450 10.000000 8.949161
451 10.000000 7.203553
452 10.000000 12.915702
453 10.000000 -13.053113
454 10.000000 -11.841902
455 10.000000 -5.146291
456 10.000000 -10.943411
457 10.000000 -8.160298
458 10.000000 -6.239954
459 10.000000 12.897908
460 10.000000 6.409286
461 10.000000 -6.419580
462 10.000000 -1.333321
463 10.000000 -10.762733
464 10.000000 -8.932675
465 10.000000 -10.018173
466 10.000000 -4.549234
467 10.000000 27.704521
468 10.000000 12.073179
469 10.000000 -8.792007
470 10.000000 -4.329504
471 10.000000 -10.256396
472 10.000000 -5.932252
473 10.000000 -7.531920
474 10.000000 -11.605457
475 10.000000 10.856727
476 10.000000 -1.335449
477 10.000000 0.025981
478 10.000000 -15.142818
479 10.000000 -13.514262
480 10.000000 -12.371339
481 10.000000 -9.342544
482 10.000000 -3.644634
483 10.000000 3.025224
484 10.000000 -9.599834
485 10.000000 -6.588007
486 10.000000 -11.410397
487 10.000000 -7.437176
488 10.000000 -0.897167
489 10.000000 -0.463224
490 10.000000 2.634842
491 10.000000 -2.899036
492 10.000000 -8.247318
493 10.000000 -20.289106
494 10.000000 -15.517485
495 10.000000 -13.386998
496 10.000000 -8.247557
497 10.000000 -6.226343
498 10.000000 -1.019236
499 10.000000 -5.606957
500 10.000000 -13.561859
501 10.000000 1.288890
502 10.000000 -10.923993
503 10.000000 -2.677606
504 10.000000 -13.809289
505 10.000000 14.910831
506 10.000000 -8.536066
507 10.000000 29.656312
508 10.000000 23.664487
509 10.000000 -3.692589
510 10.000000 20.092234
511 10.000000 1.114864
512 10.000000 3.876043
513 10.000000 -12.121773
514 10.000000 -2.924851
515 10.000000 -1.547378
516 10.000000 -2.888023
517 10.000000 1.797271
518 10.000000 -11.178505
519 10.000000 -2.498090
520 10.000000 8.273761
521 10.000000 -14.731341
522 10.000000 -13.781594
523 10.000000 11.802199
524 10.000000 -11.522289
525 10.000000 1.587255
526 10.000000 0.727686
527 10.000000 -9.809443
528 10.000000 -10.455167
529 10.000000 -1.933312
530 10.000000 -0.099950
531 10.000000 6.002817
532 10.000000 30.742471
533 10.000000 -7.924175
534 10.000000 -15.055756
535 10.000000 -13.005966
536 10.000000 -10.843958
537 10.000000 -7.708038
538 10.000000 -11.415420
539 10.000000 -12.899644
540 10.000000 -3.599417
541 10.000000 -6.636369
542 10.000000 -1.956127
543 10.000000 -0.333709
544 10.000000 -11.642648
545 10.000000 -11.789476
546 10.000000 -13.560209
547 10.000000 -11.370589
548 10.000000 -7.898008
549 10.000000 -7.893496
550 10.000000 8.232404
551 10.000000 -4.915070
552 10.000000 -13.433513
553 10.000000 -7.041294
554 10.000000 -12.442793
555 10.000000 -9.503023
556 10.000000 -7.745129
557 10.000000 -5.724022
558 10.000000 1.222100
559 10.000000 -1.425625
560 10.000000 8.465822
561 10.000000 8.638687
562 10.000000 7.034130
563 10.000000 7.221918
564 10.000000 23.680507
565 10.000000 12.394829
566 10.000000 -3.630007
567 10.000000 -13.795480
568 10.000000 4.805653
569 10.000000 -9.445850
570 10.000000 -8.961126
571 10.000000 -2.283229
572 10.000000 3.165865
573 10.000000 -9.466297
574 10.000000 5.751467
575 10.000000 -1.673864
576 10.000000 8.295845
577 10.000000 13.288775
578 10.000000 -15.379784
579 10.000000 -3.853442
580 10.000000 -1.585676
581 10.000000 -5.165846
582 10.000000 -5.522453
583 10.000000 -9.367483
584 10.000000 -3.474461
585 10.000000 -11.565076
586 10.000000 -11.487908
587 10.000000 10.638737
588 10.000000 -11.412204
589 10.000000 -7.002643
590 10.000000 -13.470090
591 10.000000 -11.548963
592 10.000000 -5.141740
593 10.000000 17.206445
594 10.000000 -8.003641
595 10.000000 -9.995804
596 10.000000 -3.963195
597 10.000000 -4.711704
598 10.000000 -9.994254
599 10.000000 -9.606749
600 10.000000 -5.952502
601 10.000000 -9.942603
602 10.000000 -10.003666
603 10.000000 24.742514
604 10.000000 12.021387
605 10.000000 -2.748542
606 10.000000 1.960933
607 10.000000 -4.118040
608 10.000000 -4.169849
609 10.000000 27.397773
610 10.000000 -6.970092
611 10.000000 -2.004562
612 10.000000 -13.087587
613 10.000000 -9.603759
614 10.000000 -5.438426
615 10.000000 -7.483732
