N = 100, T = 10.000000/kb, dim = 2, max displacement = 0.250000, seed = 22, box = 10.000000x10.000000x10.000000
cycle T E
0 10.000000 -102.630568
1 10.000000 -100.071073
2 10.000000 0.821835
3 10.000000 136.774509
4 10.000000 202.612241
5 10.000000 276.911266
6 10.000000 333.838290
7 10.000000 300.544873
8 10.000000 314.349585
9 10.000000 396.953719
10 10.000000 390.912840
11 10.000000 323.190288
12 10.000000 426.260832
13 10.000000 429.110296
14 10.000000 405.729728
15 10.000000 403.504880
16 10.000000 393.681991
17 10.000000 379.227040
18 10.000000 332.566512
19 10.000000 278.987830
20 10.000000 411.004303
21 10.000000 430.115275
22 10.000000 438.346810
23 10.000000 454.251025
24 10.000000 431.983213
25 10.000000 353.812055
26 10.000000 437.344791
27 10.000000 432.967745
28 10.000000 393.892014
29 10.000000 357.061054
30 10.000000 342.338643
31 10.000000 382.675449
32 10.000000 406.194485
33 10.000000 482.754211
34 10.000000 417.930093
35 10.000000 380.841080
36 10.000000 457.343479
37 10.000000 471.020893
38 10.000000 477.116979
39 10.000000 425.576430
40 10.000000 432.060691
41 10.000000 409.410037
42 10.000000 435.120686
43 10.000000 399.890426
44 10.000000 363.432763
45 10.000000 475.158190
46 10.000000 477.741547
47 10.000000 426.018337
48 10.000000 495.556375
49 10.000000 390.556755
50 10.000000 533.266423
51 10.000000 563.206586
52 10.000000 490.285100
53 10.000000 546.544850
54 10.000000 568.825925
55 10.000000 607.091983
56 10.000000 617.802715
57 10.000000 531.597515
58 10.000000 512.455432
59 10.000000 528.964925
60 10.000000 494.637870
61 10.000000 480.083631
62 10.000000 518.587698
63 10.000000 489.957250
64 10.000000 505.444796
65 10.000000 482.667811
66 10.000000 495.966039
67 10.000000 468.016372
68 10.000000 495.813730
69 10.000000 518.472425
70 10.000000 543.022203
71 10.000000 538.925974
72 10.000000 540.454493
73 10.000000 548.279502
74 10.000000 453.475242
75 10.000000 494.352865
76 10.000000 527.126209
77 10.000000 568.649570
78 10.000000 575.259336
79 10.000000 532.113638
80 10.000000 590.234527
81 10.000000 504.225644
82 10.000000 507.496212
83 10.000000 576.067822
84 10.000000 532.596668
85 10.000000 479.378455
86 10.000000 448.321612
87 10.000000 461.391408
88 10.000000 459.632935
89 10.000000 462.715867
90 10.000000 491.229048
91 10.000000 448.925773
92 10.000000 530.129315
93 10.000000 545.483250
94 10.000000 605.805237
95 10.000000 536.164821
96 10.000000 527.995842
97 10.000000 513.234794
98 10.000000 494.048670
99 10.000000 529.579261
100 10.000000 522.446375
101 10.000000 503.765749
102 10.000000 573.635350
103 10.000000 571.278314
104 10.000000 522.619608
105 10.000000 539.609313
106 10.000000 582.732880
107 10.000000 457.074923
108 10.000000 421.652977
109 10.000000 439.285755
110 10.000000 432.764100
111 10.000000 412.143741
112 10.000000 430.120416
113 10.000000 403.847036
114 10.000000 373.318882
115 10.000000 330.636566
116 10.000000 380.682191
117 10.000000 430.617436
118 10.000000 451.116278
119 10.000000 393.727061
120 10.000000 462.410220
121 10.000000 461.432007
122 10.000000 478.453600
123 10.000000 526.714700
124 10.000000 466.102818
125 10.000000 419.483824
126 10.000000 450.272707
127 10.000000 422.263843
128 10.000000 375.286018
129 10.000000 388.419743
130 10.000000 332.027708
131 10.000000 390.888305
132 10.000000 508.809836
133 10.000000 458.480056
134 10.000000 509.840002
135 10.000000 474.432417
136 10.000000 475.846970
137 10.000000 479.037810
138 10.000000 398.316886
139 10.000000 374.090626
140 10.000000 385.784658
141 10.000000 467.719676
142 10.000000 426.106407
143 10.000000 419.000010
144 10.000000 438.528232
145 10.000000 472.264318
146 10.000000 465.529746
147 10.000000 431.516288
148 10.000000 454.077910
149 10.000000 570.826107
150 10.000000 517.137314
151 10.000000 471.856667
152 10.000000 497.614973
153 10.000000 490.799647
154 10.000000 524.637677
155 10.000000 526.131433
156 10.000000 558.413508
157 10.000000 493.274652
158 10.000000 452.389234
159 10.000000 357.667654
160 10.000000 397.884645
161 10.000000 378.507737
162 10.000000 374.626374
163 10.000000 491.758122
164 10.000000 427.168558
165 10.000000 517.137840
166 10.000000 465.765672
167 10.000000 540.535025
168 10.000000 530.083870
169 10.000000 534.982460
170 10.000000 548.424367
171 10.000000 482.825168
172 10.000000 512.591932
173 10.000000 504.232634
174 10.000000 496.997317
175 10.000000 502.376794
176 10.000000 465.667645
177 10.000000 522.601014
178 10.000000 511.125283
179 10.000000 538.986068
180 10.000000 501.147991
181 10.000000 490.267480
182 10.000000 466.030374
